ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
453;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A FRANCISCO GIL                   ;D.G.O.P.                   ;AVDAS. CENTENERA Y CRUZ          ;AVDAS. CENTENERA Y CRUZ          ;BARCO CENTENERA DEL Y FERNANDEZ DE LA CRUZ, F., GRAL. AV.             ;BARCO CENTENERA DEL                            ;;PALERMO;COMUNA 4;;;-34.64782187566754;-58.42842955878164
454;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL POETA P. GARCIA CABRERA        ;D.G.O.P.                   ;C.CENTRAL ISLAS CANARIAS         ;C.CENTRAL ISLAS CANARIAS         ;                                                                      ;                                               ;;PALERMO;;;;;
455;ESCULTURA          ;1;HIERRO Y VIDRIO           ;SOLDA TU NOMBRE EN RECOLETA            ;HERZBERG, CARLOS           ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;PALERMO;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
456;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;M.O.A.                     ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
457;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;                           ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
458;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A HEROES Y MARTIRES GHETTO VARSOVI;D.G.O.P.                   ;PARQUE DEL CENTENARIO            ;PARQUE DEL CENTENARIO            ;                                                                      ;                                               ;;RECOLETA;;;;;
459;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A JOVENES CAIDOS GHETTO VARSOVIA  ;D.G.O.P.                   ;PARQUE DEL CENTENARIO            ;PARQUE DEL CENTENARIO            ;                                                                      ;                                               ;;RECOLETA;;;;;
460;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A LOLA MORA                       ;D.G.O.P.                   ;PARQUE BALNEARIO SUR             ;PARQUE BALNEARIO SUR             ;                                                                      ;                                               ;;RECOLETA;;;;;
461;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL OBISPO ENRIQUE ANGELELLI       ;D.G.O.P.                   ;CANTERO CENTRAL PROV. DE LA RIOJA;CANTERO CENTRAL PROV. DE LA RIOJA;                                                                      ;                                               ;;PARQUE AVELLANEDA;;;;;
462;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A NINI MARSHALL                   ;D.G.O.P.                   ;PZTA. CAMPA??A DEL CHACO       ;PZTA. CAMPA?A DEL CHACO       ;CALABRIA AV. Y RAWSON DE DELLEPIANE, ELVIRA AV.                       ;CALABRIA AV.                                   ;;;COMUNA 1;;;-34.61924936713924;-58.357711582545946
463;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;                           ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;NUEVA POMPEYA;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
464;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL VII CONGRESO FORESTAL           ;                           ;PLAZA DE LAS NACIONES UNIDAS     ;PLAZA DE LAS NACIONES UNIDAS     ;FIGUEROA ALCORTA, PRES. AV. 2300                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;2300;;COMUNA 2;1425;C1425CKO;-34.583019199953235;-58.39326278540908
465;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A LOS COLEGIALES                  ;                           ;PLAZA DE LOS COLEGIALES          ;PLAZA DE LOS COLEGIALES          ;MATIENZO, BENJAMIN, TENIENTE 2901                                     ;MATIENZO, BENJAMIN, TENIENTE                   ;2901;RECOLETA;COMUNA 13;1426;C1426DBC;-34.57687995243623;-58.44380208284961
466;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.GRAL. MARTIN MIGUEL DE GUEMES      ;D.G.O.P.                   ;PARQUE SAN BENITO                ;PARQUE SAN BENITO                ;FIGUEROA ALCORTA, PRES. AV. 6700                                      ;FIGUEROA ALCORTA, PRES. AV.                    ;6700;RECOLETA;COMUNA 13;1428;C1428BCP;-34.55076452781657;-58.437555981082845
467;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.A INVENTORES ARGENTINOS            ;D.G.O.P.                   ;PASEO REPUBLICA DE FILIPINAS     ;PASEO REPUBLICA DE FILIPINAS     ;                                                                      ;                                               ;;RECOLETA;;;;;
468;TEMPLETE           ;1;MAMPOSTERIA Y MAYOLICA    ;VIRGEN DE LUJAN                        ;                           ;PLAZA DE LOS COLEGIALES          ;PLAZA DE LOS COLEGIALES          ;MATIENZO, BENJAMIN, TENIENTE 2901                                     ;MATIENZO, BENJAMIN, TENIENTE                   ;2901;;COMUNA 13;1426;C1426DBC;-34.57687995243623;-58.44380208284961
469;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. PROFESORA MARGARITA RAVIOLI       ;D.G.O.P.                   ;AVDA. DORREGO 2751  C.CTRAL.G.BAR;AVDA. DORREGO 2751  C.CTRAL.G.BAR;                                                                      ;                                               ;;;;;;;
470;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL DR.NICOLAS AVELLANEDA          ;D.G.O.P.                   ;AVDAS.BERRO E INT.CASARES        ;AVDAS.BERRO E INT.CASARES        ;CASARES AV. Y BERRO, ADOLFO AV.                                       ;CASARES AV.                                    ;;;COMUNA 14;;;-34.575251589586735;-58.40822028225976
471;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HLE. A RAFAEL ALBERTI                  ;D.G.O.P.                   ;JARDIN DE LOS POETAS             ;JARDIN DE LOS POETAS             ;                                                                      ;                                               ;;;;;;;
472;BUSTO              ;1;CEMENTO PATINADO          ;GABINO EZEIZA                          ;PACE, JOSE R.              ;PLAZA DE LOS MATADEROS           ;PLAZA DE LOS MATADEROS           ;                                                                      ;                                               ;;PUERTO MADERO;;;;;
473;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;                           ;PLAZA DE LOS MATADEROS           ;PLAZA DE LOS MATADEROS           ;                                                                      ;                                               ;;RECOLETA;;;;;
474;PLACA              ;1;CERAMICA                  ;HJE. A GABINO EZEIZA                   ;                           ;PLAZA DE LOS MATADEROS           ;PLAZA DE LOS MATADEROS           ;                                                                      ;                                               ;;RECOLETA;;;;;
475;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A ENRIQUEONOVILLEGAS              ;D.G.O.P.                   ;PZTA.DEL ARBOL                   ;PZTA.DEL ARBOL                   ;AGUERO 1395                                                           ;AGUERO                                         ;1395;COLEGIALES;COMUNA 2;1425;C1425EHE;-34.59320838299206;-58.408464908147735
476;FUENTE CIRCULAR    ;1;FIBROCEMENTO              ;MOTIVO DECORATIVO                      ;M.O.A.                     ;PLAZA DE LOS MILAGROS            ;PLAZA DE LOS MILAGROS            ;                                                                      ;                                               ;;BELGRANO;;;;;
477;PLACA Y MONOLITO   ;1;BRONCE Y MARMOL           ;HJE. A GABRIEL OCAMPO                  ;D.G.O.P.                   ;AVDAS. LIBERTADOR Y OCAMPO       ;AVDAS. LIBERTADOR Y OCAMPO       ;DEL LIBERTADOR AV. Y ORTIZ DE OCAMPO                                  ;DEL LIBERTADOR AV.                             ;;;COMUNA 14;;;-34.581289628149186;-58.40367567640047
478;PLACA              ;1;BRONCE                    ;HJE. A JAQUELINE KARINA SANTILLAN      ;D.G.O.P.                   ;PLAZA DE LOS PERIODISTAS         ;PLAZA DE LOS PERIODISTAS         ;NAZCA AV. 900                                                         ;NAZCA AV.                                      ;900;COLEGIALES;COMUNA 7;1406;C1406AJU;-34.62231365012345;-58.473507224857585
479;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A VICTIMAS TERRORISMO ESTADO      ;D.G.O.P.                   ;CANTERO CENTRAL SANTA FRANCISCA J;CANTERO CENTRAL SANTA FRANCISCA J;                                                                      ;                                               ;;;;;;;
480;FUENTE CIRCULAR    ;1;FIBROCEMENTO              ;MOTIVO DECORATIVO                      ;M.O.A.                     ;PLAZA DE LOS PERIODISTAS         ;PLAZA DE LOS PERIODISTAS         ;NAZCA AV. 900                                                         ;NAZCA AV.                                      ;900;PALERMO;COMUNA 7;1406;C1406AJU;-34.62231365012345;-58.473507224857585
481;SURTIDORES (SAPOS) ;6;BRONCE                    ;MOTIVO DECORATIVO                      ;D.G.O.P.                   ;PARQUE CHACABUCO                 ;PARQUE CHACABUCO                 ;PERON, EVA AV. 1410                                                   ;PERON, EVA AV.                                 ;1410;;COMUNA 7;1406;C1406HMP;-34.632902763217736;-58.44476251965362
482;PLACA Y MONOLITO   ;1;MARMOL Y MAMPOSTERIA      ;HJE.A JEAN MERMOZ                      ;D.G.P. P. Y M.O.A.         ;AV.RAFAEL OBLIGADO (AEROPARQUE)  ;AV.RAFAEL OBLIGADO (AEROPARQUE)  ;OBLIGADO RAFAEL, AV.COSTANERA                                         ;OBLIGADO RAFAEL, AV.COSTANERA                  ;;;;;;;
483;PLACA              ;1;MARMOL                    ;HJE. DRA. NINAWA DAHER                 ;                           ;PLAZA DE LOS PERIODISTAS         ;PLAZA DE LOS PERIODISTAS         ;NAZCA AV. 900                                                         ;NAZCA AV.                                      ;900;;COMUNA 7;1406;C1406AJU;-34.62231365012345;-58.473507224857585
484;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. AL DR. MARIANO CASTEX             ;D.O.M.                     ;AV.SAN PEDRITO Y C.ALVAREZ       ;AV.SAN PEDRITO Y C.ALVAREZ       ;SAN PEDRITO Y ALVAREZ, CRISOSTOMO                                     ;SAN PEDRITO                                    ;;;COMUNA 7;;;-34.645707348802674;-58.45762147458242
485;RELOJ SOLAR        ;1;MARMOL                    ;MOTIVO DECORATIVO                      ;D.O.M.                     ;PARQUE ALTE. BROWN               ;PARQUE ALTE. BROWN               ;SALVADORES, CNEL. E IRALA                                             ;SALVADORES, CNEL.                              ;;RECOLETA;COMUNA 4;;;-34.6444435207776;-58.36546878215825
486;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE.AL DR.E.L.JAIMOVICH                ;                           ;PLAZA DE LOS PERIODISTAS         ;PLAZA DE LOS PERIODISTAS         ;NAZCA AV. 900                                                         ;NAZCA AV.                                      ;900;;COMUNA 7;1406;C1406AJU;-34.62231365012345;-58.473507224857585
487;MASTIL Y BASE      ;1;HIERRO Y MAMPOSTERIA      ;HJE. A LA BANDERA                      ;D.O.M.                     ;PZTA.LATINOAMERICA               ;PZTA.LATINOAMERICA               ;                                                                      ;                                               ;;PALERMO;;;;;
488;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A MARIO BONINO                    ;                           ;PLAZA DE LOS PERIODISTAS         ;PLAZA DE LOS PERIODISTAS         ;NAZCA AV. 900                                                         ;NAZCA AV.                                      ;900;FLORES;COMUNA 7;1406;C1406AJU;-34.62231365012345;-58.473507224857585
489;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;D.O.M.                     ;PZTA. CARLOS VERGARA             ;PZTA. CARLOS VERGARA             ;ALCORTA, AMANCIO AV. 1902                                             ;ALCORTA, AMANCIO AV.                           ;1902;;COMUNA 4;1283;C1283AAS;-34.639302522471326;-58.388287425327185
490;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;D.O.M.                     ;PZTA. JOSE HERNANDEZ             ;PZTA. JOSE HERNANDEZ             ;                                                                      ;                                               ;;FLORES;;;;;
491;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;HJE. A HIPOLITO YRIGOYEN               ;D.O.M.                     ;AV.RIVADAVIA E HIPOLITO YRIGOYEN ;AV.RIVADAVIA E HIPOLITO YRIGOYEN ;SIN NOMBRE OFICIAL (ALT. RIVADAVIA, AV. 4500) Y YRIGOYEN, HIPOLITO AV.;SIN NOMBRE OFICIAL (ALT. RIVADAVIA, AV. 4500)  ;;PARQUE CHACABUCO;COMUNA 5;;;-34.61507762215666;-58.42843190877187
492;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZOLETA              ;D.O.M.                     ;PZTA. CIUDAD DE SALAMANCA        ;PZTA. CIUDAD DE SALAMANCA        ;                                                                      ;                                               ;;;;;;;
493;PLACA Y MONOLITO   ;1;BRONCE Y MAMPOSTERIA      ;NOMENCLATURA DE PLAZA                  ;D.O.M.                     ;PLAZA DE LOS VIVEROS             ;PLAZA DE LOS VIVEROS             ;FERRE 6102                                                            ;FERRE                                          ;6102;FLORES;COMUNA 8;1439;C1439DRB;-34.69133311647466;-58.464140905493394
494;MASTIL             ;1;HIERRO Y MAMPOSTERIA      ;HOMENAJE A LA BANDERA                  ;DIRECCION DE PASEOS        ;PLAZA DE LOS VIVEROS             ;PLAZA DE LOS VIVEROS             ;FERRE 6102                                                            ;FERRE                                          ;6102;FLORES;COMUNA 8;1439;C1439DRB;-34.69133311647466;-58.464140905493394
495;MONUMENTO          ;1;MAMPOSTERIA               ;PIRAMIDE DE MAYO                       ;CA?ETE, PEDRO VICENTE   ;PLAZA DE MAYO                    ;PLAZA DE MAYO                    ;YRIGOYEN, HIPOLITO AV. 401                                            ;YRIGOYEN, HIPOLITO AV.                         ;401;BOCA;COMUNA 1;1086;C1086AAE;-34.6089262898865;-58.37215533392078
496;FUENTE             ;1;MAMPOSTERIA               ;MOTIVO DECORATIVO                      ;D.O.M.                     ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;PZTA.REGIMIENTO 1*DE PATRICIOS   ;SANTA FE AV. 4815                                                     ;SANTA FE AV.                                   ;4815;FLORES;COMUNA 14;1425;C1425BHK;-34.57722853104102;-58.42860423783285
